C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_180.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_180.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_180.jpg,0,0,0,7.789973E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_264.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_264.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_264.jpg,0,0,0,7.801931E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_348.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_348.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_348.jpg,0,0,0,7.820454E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_434.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_434.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_434.jpg,0,0,0,7.978315E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_517.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_517.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_517.jpg,0,0,0,7.810415E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_600.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_600.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_600.jpg,0,0,0,7.799594E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_684.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_684.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_684.jpg,0,0,0,7.812247E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_767.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_767.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_767.jpg,0,0,0,7.787872E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_855.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_855.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_855.jpg,0,0,0,7.775548E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_37_941.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_37_941.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_37_941.jpg,0,0,0,7.755078E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_38_027.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_38_027.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_38_027.jpg,0,0,0,7.844045E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_38_108.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_38_108.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_38_108.jpg,0,0,0,7.816075E-05
C:\Users\wky5766xx\Desktop\Training-Data\IMG\center_2020_06_10_20_09_38_194.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\left_2020_06_10_20_09_38_194.jpg,C:\Users\wky5766xx\Desktop\Training-Data\IMG\right_2020_06_10_20_09_38_194.jpg,0,0,0,7.809678E-05
